Time,target_send_rate,increase_size_bytes,total_file_size_bytes,total_dir_size_bytes
92.0000,23.7000,313316.8098,16739428.3218,16739428.3218
93.0000,27.9300,381604.8132,17121033.1350,17121033.1350
94.0000,33.6000,473139.7956,17594172.9306,17594172.9306
95.0000,10.0000,92147.6268,17686320.5574,17686320.5574
96.0000,16.6300,199180.5966,17885501.1540,17885501.1540
97.0000,27.2800,371111.3844,18256612.5384,18256612.5384
98.0000,20.5900,263109.7908,18519722.3292,18519722.3292
99.0000,35.0600,496709.6502,19016431.9794,19016431.9794
100.0000,25.9600,349801.6530,19366233.6324,19366233.6324
101.0000,16.2100,192400.2270,19558633.8594,19558633.8594
102.0000,23.2600,306213.5658,19864847.4252,19864847.4252
103.0000,10.0000,92147.6268,19956995.0520,19956995.0520
104.0000,30.2100,418412.5308,20375407.5828,20375407.5828
105.0000,31.6100,441013.7616,20816421.3444,20816421.3444
106.0000,30.1900,418089.6564,21234511.0008,21234511.0008
107.0000,31.7700,443596.7592,21678107.7600,21678107.7600
108.0000,36.1000,513499.1358,22191606.8958,22191606.8958
109.0000,12.5600,133475.5908,22325082.4866,22325082.4866
110.0000,15.3900,179162.3640,22504244.8506,22504244.8506
111.0000,40.2000,579688.4532,23083933.3038,23083933.3038
112.0000,27.9700,382250.5626,23466183.8664,23466183.8664
113.0000,10.0000,92147.6268,23558331.4932,23558331.4932
114.0000,11.9200,123143.5998,23681475.0930,23681475.0930
115.0000,10.0000,92147.6268,23773622.7198,23773622.7198
116.0000,68.0800,1029775.8126,24803398.5324,24803398.5324
117.0000,58.7100,878509.0062,25681907.5386,25681907.5386
118.0000,30.2600,419219.7180,26101127.2566,26101127.2566
119.0000,34.0100,479758.7274,26580885.9840,26580885.9840
120.0000,12.5200,132829.8414,26713715.8254,26713715.8254
121.0000,24.2900,322841.6142,27036557.4396,27036557.4396
122.0000,39.4100,566934.9018,27603492.3414,27603492.3414
123.0000,31.6100,441013.7616,28044506.1030,28044506.1030
124.0000,35.5100,503974.3314,28548480.4344,28548480.4344
125.0000,10.0000,92147.6268,28640628.0612,28640628.0612
126.0000,31.5000,439237.9506,29079866.0118,29079866.0118
127.0000,43.1600,627473.9118,29707339.9236,29707339.9236
128.0000,36.6500,522378.1908,30229718.1144,30229718.1144
129.0000,16.3600,194821.7874,30424539.9018,30424539.9018
130.0000,30.1300,417121.0320,30841660.9338,30841660.9338
131.0000,12.8300,137834.3994,30979495.3332,30979495.3332
132.0000,22.4200,292652.8278,31272148.1610,31272148.1610
133.0000,26.3700,356420.5848,31628568.7458,31628568.7458
134.0000,38.9200,559024.4712,32187593.2170,32187593.2170
135.0000,10.0000,92147.6268,32279740.8438,32279740.8438
136.0000,19.3300,242768.6838,32522509.5276,32522509.5276
137.0000,21.0800,271020.2214,32793529.7490,32793529.7490
138.0000,19.6300,247611.8046,33041141.5536,33041141.5536
139.0000,60.4500,906599.1066,33947740.6602,33947740.6602
140.0000,40.8100,589536.1320,34537276.7922,34537276.7922
141.0000,36.9300,526898.4366,35064175.2288,35064175.2288
142.0000,40.3500,582110.0136,35646285.2424,35646285.2424
143.0000,10.0000,92147.6268,35738432.8692,35738432.8692
144.0000,25.8100,347380.0926,36085812.9618,36085812.9618
145.0000,29.0800,400170.1092,36485983.0710,36485983.0710
146.0000,10.0000,92147.6268,36578130.6978,36578130.6978
147.0000,39.0400,560961.7194,37139092.4172,37139092.4172
148.0000,21.8400,283289.4606,37422381.8778,37422381.8778
149.0000,10.0000,92147.6268,37514529.5046,37514529.5046
150.0000,30.2600,419219.7180,37933749.2226,37933749.2226
151.0000,32.5100,455543.1234,38389292.3460,38389292.3460
152.0000,35.6700,506557.3296,38895849.6756,38895849.6756
153.0000,11.0700,109421.4246,39005271.1002,39005271.1002
154.0000,51.1800,756946.6746,39762217.7748,39762217.7748
155.0000,24.2500,322195.8648,40084413.6396,40084413.6396
156.0000,37.6300,538199.0520,40622612.6916,40622612.6916
157.0000,35.1000,497355.3996,41119968.0912,41119968.0912
158.0000,20.4200,260365.3560,41380333.4472,41380333.4472
159.0000,50.7100,749359.1184,42129692.5656,42129692.5656
160.0000,31.3400,436654.9524,42566347.5180,42566347.5180
161.0000,44.7900,653788.2012,43220135.7192,43220135.7192
