@RELATION rate_vs_increase_training

@ATTRIBUTE target_send_rate NUMERIC
@ATTRIBUTE sum_size_increase_bytes NUMERIC

@DATA
719.0,2008412.0
724.0,2030056.0
295.0,649609.3333333334
701.0,1914613.0
251.0,681815.0
726.0,1626639.5
461.0,1258539.5
455.0,1253210.0
997.0,2720940.0
815.0,2245399.0
862.0,2399737.0
269.0,735036.0
201.0,561760.5
161.0,448444.0
555.0,1507876.0
729.0,2029478.0
401.0,1074122.5
702.0,1642814.0
476.0,1311058.0
821.0,2244548.0
771.0,2151282.0
105.0,293097.5
565.0,1585364.0
389.0,1091540.0
1.0,3163.0
938.0,2650573.0
983.0,2810285.0
561.0,1554317.0
80.0,214152.5
205.0,443012.6666666667
34.0,93562.5
775.0,2170836.0
508.0,1401321.0
427.0,859756.6666666666
454.0,1266782.5
366.0,956258.3333333334
91.0,213357.33333333334
339.0,940770.5
897.0,2496638.0
564.0,1329667.5
345.0,952471.5
776.0,2105900.0
241.0,502255.0
13.0,30891.666666666668
315.0,882931.0
600.0,1447225.0
387.0,1076642.0
273.0,756967.0
166.0,462720.0
840.0,1852761.5
993.0,2731200.0
646.0,1780356.0
818.0,2182905.0
484.0,1353340.0
981.0,2695577.0
504.0,1164603.0
831.0,2324441.0
243.0,679729.5
566.0,1570054.0
875.0,2422890.0
562.0,1573297.0
686.0,1874968.0
189.0,517378.0
782.0,2196100.0
699.0,1939237.0
475.0,964929.6666666666
681.0,1859837.0
510.0,1210067.5
58.0,152767.0
474.0,1177282.3333333333
560.0,1568615.0
856.0,2369991.0
747.0,2064906.0
252.0,642921.3333333334
21.0,55858.5
313.0,659652.6666666666
459.0,1240918.5
160.0,450257.5
276.0,730526.6666666666
955.0,2636007.0
191.0,535133.0
385.0,764217.0
805.0,2214484.0
413.0,1140172.5
491.0,1341918.5
343.0,729348.6666666666
769.0,2156358.0
308.0,825940.0
661.0,1827776.0
130.0,354449.5
663.0,1817312.0
871.0,2446428.0
99.0,267021.5
372.0,954386.3333333334
87.0,243715.5
458.0,1277376.0
330.0,830868.0
214.0,580983.0
466.0,1303007.0
121.0,268277.0
614.0,1728444.0
20.0,56989.5
700.0,1945831.0
71.0,186220.5
106.0,296879.0
270.0,703786.3333333334
860.0,2371984.0
435.0,1195294.5
102.0,272923.6666666667
