Time,target_send_rate
0.0,10.0
1.0,10.0
2.0,10.0
3.0,19.220766538327364
4.0,40.61624874087934
5.0,10.0
6.0,32.33342497601266
7.0,10.0
8.0,47.46677250774054
9.0,10.0
10.0,11.848052580450464
11.0,10.0
12.0,10.0
13.0,10.0
14.0,10.0
15.0,11.390995368203262
16.0,14.070594536204963
17.0,10.0
18.0,10.0
19.0,10.0
20.0,17.100342986454862
21.0,10.0
22.0,16.780046269837605
23.0,10.0
24.0,10.0
25.0,10.0
26.0,10.0
27.0,10.0
28.0,10.0
29.0,24.54326727041464
30.0,115.71810810892131
31.0,10.0
32.0,10.0
33.0,27.786791038787158
34.0,35.04568225805501
35.0,26.735154935382177
36.0,10.0
37.0,31.09519441612676
38.0,10.003710903302473
39.0,28.20725275740967
40.0,23.80814861976132
41.0,10.0
42.0,16.07428013941873
43.0,10.0
44.0,24.165122963887924
45.0,29.374282643758796
46.0,10.0
47.0,25.7804331199618
48.0,10.0
49.0,10.0
50.0,10.0
51.0,21.185267512070798
52.0,10.0
53.0,10.0
54.0,10.0
55.0,10.0
56.0,11.299754242645978
57.0,10.0
58.0,42.30551496218845
59.0,10.0
60.0,10.0
61.0,10.0
62.0,10.0
63.0,28.063418027642893
64.0,53.8416803429597
65.0,11.86428215233742
66.0,10.0
67.0,23.863371820049796
68.0,13.783543134191014
69.0,10.0
70.0,10.33850022906578
71.0,41.21017854241359
72.0,10.0
73.0,10.0
74.0,10.0
75.0,47.45867867709671
76.0,10.0
77.0,27.857480007362376
78.0,29.806530572868375
79.0,10.0
80.0,10.0
81.0,26.88637151619374
82.0,10.0
83.0,36.95503183725605
84.0,10.0
85.0,23.596612048712345
86.0,10.0
87.0,10.0
88.0,10.0
89.0,43.06899843877935
90.0,10.0
91.0,10.0
92.0,18.752842798687183
93.0,51.991216858813814
94.0,50.44157512314172
95.0,10.0
96.0,10.0
97.0,10.0
98.0,24.415624870242805
99.0,36.4934923938961
100.0,31.88099179147999
101.0,54.47845413610914
102.0,10.0
103.0,66.22190647337781
104.0,44.8533667275146
105.0,10.0
106.0,11.239672051101497
107.0,10.0
108.0,10.0
109.0,10.0
110.0,39.79868455175932
111.0,10.0
112.0,12.434392082462711
113.0,10.0
114.0,47.62031729996927
115.0,28.095260031263493
116.0,38.821960032773276
117.0,47.41362980461995
118.0,10.0
119.0,10.0
120.0,26.256127243970226
121.0,10.0
122.0,10.0
123.0,28.225611149645882
124.0,10.0
125.0,10.0
