Time,target_send_rate,total_size_bytes
293.0000,73.3800,199058998.1508
294.0000,79.0900,200266516.4964
295.0000,88.4500,201625140.2106
296.0000,76.9800,202798595.2728
297.0000,70.6000,203869053.3000
298.0000,85.2000,205175209.8720
299.0000,74.9900,206316538.8996
300.0000,72.7600,207421867.3962
301.0000,65.7800,208414512.6156
302.0000,78.3200,209609600.2842
303.0000,82.7800,210876689.0154
304.0000,75.4500,212025444.1620
305.0000,77.2100,213202612.2840
306.0000,78.0400,214393179.7068
307.0000,81.7000,215642833.2030
308.0000,77.8200,216829849.0038
309.0000,70.2100,217894010.9736
310.0000,74.3200,219024523.6986
311.0000,69.7900,220081905.2994
312.0000,81.9100,221334948.9804
313.0000,83.3700,222611562.5160
314.0000,81.2500,223853951.3310
315.0000,84.8700,225154780.4706
316.0000,82.1700,226412021.5230
317.0000,82.1500,227668939.7004
318.0000,75.8100,228823506.5916
319.0000,84.7200,230121914.1708
320.0000,79.2600,231332176.9512
321.0000,75.9800,232489488.2778
322.0000,87.9200,233839555.8120
323.0000,87.8900,235189139.0340
324.0000,78.2600,236383258.0788
325.0000,83.7600,237666167.6712
326.0000,75.6100,238817505.8154
327.0000,77.2100,239994673.9374
328.0000,84.2200,241285009.6482
329.0000,85.2700,242592296.2818
330.0000,91.5700,244001288.4522
331.0000,76.6500,245169416.0820
332.0000,77.0500,246344001.2058
333.0000,86.4800,247670821.7598
334.0000,83.6100,248951309.7918
335.0000,74.8800,250090863.0090
336.0000,82.6100,251355207.3048
337.0000,74.6800,252491531.7744
338.0000,82.7700,253758459.0684
339.0000,77.0500,254933044.1922
340.0000,75.5300,256083090.8376
341.0000,81.1200,257323380.9672
342.0000,83.8800,258608227.8078
343.0000,77.9100,259796696.5446
344.0000,85.1700,261102368.8050
345.0000,80.8100,262337654.3760
346.0000,84.5900,263633963.2692
347.0000,88.7500,264997430.1042
348.0000,86.6700,266327317.9680
349.0000,67.4800,267347407.5390
350.0000,77.0300,268521669.7884
351.0000,73.2300,269634585.8412
352.0000,85.0500,270938320.8528
353.0000,87.6300,272283706.7034
354.0000,82.7100,273549665.3730
355.0000,73.8000,274671783.3552
356.0000,89.4300,276046227.9306
357.0000,76.3700,277209835.3140
358.0000,83.5500,278489354.7216
359.0000,81.6000,279737393.8440
360.0000,84.9100,281038868.7330
361.0000,86.9500,282373276.8432
362.0000,75.1500,283517188.8690
363.0000,90.8400,284914396.1118
364.0000,79.9800,286136282.3820
365.0000,75.1600,287280355.8450
366.0000,77.7200,288465757.2720
367.0000,73.6500,289585453.6938
368.0000,79.7000,290802819.7182
369.0000,77.9400,291991772.7672
370.0000,93.2200,293427402.1020
371.0000,70.0700,294489303.9486
372.0000,76.1200,295648875.3984
373.0000,81.4100,296893847.2110
374.0000,84.0100,298180792.7376
375.0000,85.3300,299489047.9956
376.0000,76.4500,300653946.8778
377.0000,90.6600,302048248.2486
378.0000,81.2400,303290475.6264
379.0000,58.8400,304171083.3186
380.0000,82.8400,305439140.6736
381.0000,86.6600,306768867.1002
382.0000,76.6400,307936833.2922
383.0000,89.0900,309305788.9974
384.0000,78.1000,310497325.0440
385.0000,75.8100,311651891.9352
386.0000,85.6900,312965958.9378
387.0000,78.8300,314169279.9120
388.0000,80.9300,315406502.7318
389.0000,74.8500,316545571.6368
390.0000,76.4300,317710147.6446
391.0000,88.3000,319066349.7984
392.0000,78.5900,320265796.2756
393.0000,78.6100,321465565.6278
394.0000,84.7600,322764618.9564
395.0000,80.0700,323987958.1632
396.0000,81.2600,325230508.4154
397.0000,78.1300,326422528.7742
398.0000,66.1100,327420501.4266
399.0000,79.2400,328630441.3326
400.0000,95.7500,330106914.3192
401.0000,80.3600,331334935.2090
402.0000,86.4500,332661271.4514
403.0000,72.5600,333763371.2010
404.0000,86.6500,335092936.1904
405.0000,74.8800,336232489.4076
406.0000,84.4900,337527183.9270
407.0000,83.0800,338799115.7790
408.0000,88.5400,340159192.4292
409.0000,82.1800,341416594.9188
410.0000,87.0900,342753263.1522
411.0000,72.9900,343862304.7080
412.0000,75.9600,345019293.1596
413.0000,78.1800,346212120.7050
414.0000,79.0000,347418186.1140
415.0000,74.9400,348558707.9550
416.0000,89.2900,349930892.4072
417.0000,74.5800,351065602.5036
418.0000,77.4400,352246483.6848
419.0000,73.7800,353368278.7920
420.0000,77.8000,354554971.7178
421.0000,68.4400,355590559.2750
422.0000,83.6900,356872338.8058
423.0000,85.8200,358188504.4944
424.0000,68.7600,359229258.0474
425.0000,81.6900,360478750.1064
426.0000,80.4100,361707578.1834
427.0000,75.6800,362860046.3892
428.0000,78.6800,364060945.8030
429.0000,78.7100,365262329.5290
430.0000,73.8500,366385254.6978
431.0000,72.6700,367489130.2584
432.0000,79.4500,368702460.3486
433.0000,78.6700,369903198.3246
434.0000,82.8200,371170932.8052
435.0000,66.2800,372171649.8930
436.0000,73.0200,373281175.7610
437.0000,73.0800,374391670.2534
438.0000,78.5200,375589986.6690
439.0000,80.7000,376823496.4296
440.0000,81.4300,378068791.1172
441.0000,72.3600,379167662.1192
442.0000,78.6000,380367270.0342
443.0000,88.8800,381732835.5546
444.0000,69.4400,382784566.8480
445.0000,77.0800,383959636.2840
446.0000,75.4600,385108552.8678
447.0000,76.7800,386278779.1830
448.0000,68.6200,387317272.6128
449.0000,78.1000,388508808.6594
450.0000,64.0800,389474009.5278
451.0000,62.4200,390412411.7946
452.0000,76.1500,391572467.5560
453.0000,78.5700,392771591.1588
454.0000,76.0200,393929548.2348
455.0000,71.9900,395022446.0550
456.0000,75.5600,396172977.0126
457.0000,67.1300,397187416.2756
458.0000,74.1600,398315346.0024
459.0000,83.0200,399586309.2300
460.0000,79.7000,400803675.2544
461.0000,69.9200,401863155.5412
462.0000,77.1100,403038709.2894
463.0000,58.6500,403916249.6712
464.0000,78.7400,405118117.7088
465.0000,62.5800,406059102.9732
466.0000,71.4800,407143767.4878
467.0000,70.8400,408218100.0114
468.0000,76.6900,409386873.3906
469.0000,76.1000,410546121.9654
470.0000,64.7400,411521977.6998
471.0000,75.8700,412677513.2154
472.0000,67.3100,413694858.3510
473.0000,74.0300,414820689.3924
474.0000,76.5500,415987202.6484
475.0000,71.0600,417065086.7940
476.0000,71.0000,418142002.3152
477.0000,73.7600,419263474.5480
478.0000,71.5500,420349269.1242
479.0000,58.8800,421230522.5658
480.0000,74.3200,422361035.2908
481.0000,70.5200,423430201.8186
482.0000,74.4300,424562490.3546
483.0000,67.9000,425589360.2946
484.0000,74.8300,426728106.3246
485.0000,72.9600,427836663.5682
486.0000,78.1900,429029652.5514
487.0000,77.7200,430215053.9784
488.0000,76.1500,431375109.7398
489.0000,60.7600,432286713.4050
490.0000,66.6400,433293242.2374
491.0000,56.2900,434132683.4028
492.0000,71.4200,435216379.2930
493.0000,70.0200,436277473.9530
494.0000,67.9700,437305473.9546
495.0000,64.2500,438273419.2584
496.0000,71.7300,439362119.7072
497.0000,68.8700,440404649.0712
498.0000,58.0200,441272018.8998
499.0000,71.0900,442350387.3576
500.0000,68.5400,443387589.2886
501.0000,75.8400,444542640.4920
502.0000,67.6800,445565958.8100
503.0000,76.6300,446733763.5648
504.0000,60.9900,447649080.2892
505.0000,70.9200,448724704.3116
506.0000,58.3500,449597401.5726
507.0000,68.8600,450639769.4988
508.0000,69.8700,451698442.5984
509.0000,58.4600,452572915.6704
510.0000,69.7700,453629974.3968
511.0000,53.8400,454429863.4086
